Organization/Person Name,Organization/Person Name URL,Categories,Number of Investors,Number of Funding Rounds,Funding Status,Last Funding Amount ($),Last Funding Type,Total Funding Amount ($),Total Equity Funding Amount ($)
Corgentech,https://www.crunchbase.com/organization/corgentech,"Genetics, Medical",6,3,Late Stage Venture,20000000,Series D,83374000,83374000
Chrono Therapeutics,https://www.crunchbase.com/organization/chrono-therapeutics,"Medical, Therapeutics",12,5,Early Stage Venture,47600000,Series B,82500000,79700000
Health IQ,https://www.crunchbase.com/organization/health-iq,"Health Care, Life Insurance, Pharmaceutical",10,3,Late Stage Venture,34600000,Series C,81500000,81500000
iPierian,https://www.crunchbase.com/organization/ipierian,"Health Care, Information Technology and Software",8,5,M&A,30000000,Venture - Series Unknown,80669000,76969000
Igenica,https://www.crunchbase.com/organization/igenica,"Life Science, Medical",5,7,,1233334,Venture - Series Unknown,80600918,80385178
Plexxikon,https://www.crunchbase.com/organization/plexxikon,"Health Care, Medical",7,3,M&A,7490000,Series B,80347000,80347000
Unchained Labs,https://www.crunchbase.com/organization/unchained-labs,"Information Technology and Software, Product Research",4,4,Late Stage Venture,17000000,Series D,80000000,80000000
Annexon Biosciences,https://www.crunchbase.com/organization/annexon-biosciences,"Health Care, Health Diagnostics, Life Science, Therapeutics",5,3,Early Stage Venture,44000000,Series B,78999999,78999999
iScience Interventional,https://www.crunchbase.com/organization/iscience-interventional,"Health Care, Health Diagnostics",9,8,,2759185,Venture - Series Unknown,78672695,73337150
Rennovia,https://www.crunchbase.com/organization/rennovia,"Chemical, Information Technology",2,5,Early Stage Venture,23320658,Series B,78537524,76037524
Avidia,https://www.crunchbase.com/organization/avidia,"Medical, Pharmaceutical",7,3,M&A,43800000,Series C,78500000,78500000
Freenome,https://www.crunchbase.com/organization/freenome,"Health Care, Health Diagnostics, Personal Health",16,3,Early Stage Venture,7000000,Series A,77550000,77550000
Cogentus Pharmaceuticals,https://www.crunchbase.com/organization/cogentus-pharmaceuticals,"Medical, Pharmaceutical",4,3,Late Stage Venture,62500000,Series C,77500000,77500000
Personalis,https://www.crunchbase.com/organization/personalis,"Genetics, Health Care, Health Diagnostics",4,3,Late Stage Venture,33000000,Series C,75000000,75000000
LS9,https://www.crunchbase.com/organization/ls9,"Chemical, Fuel",5,4,M&A,30000000,Series D,75000000,75000000
Paracor Medical,https://www.crunchbase.com/organization/paracor-medical,"Health Care, Information Technology and Software",8,3,Late Stage Venture,44000000,Series D,74500000,74500000
Alios BioPharma,https://www.crunchbase.com/organization/alios-biopharma,"Biopharma, Therapeutics",5,4,M&A,41000000,Series B,74400000,74400000
Santen Pharmaceutical,https://www.crunchbase.com/organization/novagali-pharma,"Manufacturing, Pharmaceutical",8,5,Late Stage Venture,"€15,000,000",Series D,"€59,000,000","€59,000,000"
Labcyte Inc.,https://www.crunchbase.com/organization/labcyte,"Alternative Medicine, Life Science, Pharmaceutical",11,8,,4999999,Venture - Series Unknown,74295999,57099999
BiPar Sciences,https://www.crunchbase.com/organization/bipar-sciences,"Health Care, Pharmaceutical",8,5,M&A,20000000,Series C,73000000,68000000
CellGate,https://www.crunchbase.com/organization/cellgate,"Health Care, Medical",4,3,M&A,43700000,Series E,72900000,72900000
Symic Biomedical,https://www.crunchbase.com/organization/symic-biomedical,"Business Intelligence, Health Care",5,5,Early Stage Venture,30000000,Series B,72875687,71375687
Spirox,https://www.crunchbase.com/organization/nasoform,"Medical, Information Technology and Software",7,4,M&A,45000000,Series C,71500000,71500000
Novacea,https://www.crunchbase.com/organization/novacea,"Health Care, Medical",6,2,M&A,35000000,Series C,71000000,71000000
eNeura Therapeutics,https://www.crunchbase.com/organization/eneura-therapeutics,"Health Care, Medical",7,14,Late Stage Venture,17000000,Series D,70474945,53668445
Pionyr Immunotherapeutics,https://www.crunchbase.com/organization/pionyr-immunotherapeutics,"Medical, Pharmaceutical, Therapeutics",7,2,Early Stage Venture,62000000,Series B,70000000,70000000
Tempest Therapeutics,https://www.crunchbase.com/organization/tempest-therapeutics,"Health Care, Therapeutics",6,1,Early Stage Venture,70000000,Series B,70000000,70000000
Tizona Therapeutics,https://www.crunchbase.com/organization/tizona-therapeutics,"Medical, Therapeutics",7,2,Early Stage Venture,43000000,Series B,70000000,70000000
Acologix,https://www.crunchbase.com/organization/acologix,"Biopharma, Medical",4,2,Late Stage Venture,30000000,Series C,70000000,70000000
ForSight Labs,https://www.crunchbase.com/organization/forsight-labs,"Health Care, Medical",6,11,M&A,1700700,Debt Financing,69400510,67699810
Kodiak Sciences,https://www.crunchbase.com/organization/kodiak-sciences,"Health Care, Therapeutics",2,3,Early Stage Venture,33000000,Convertible Note,68830000,35830000
Roxro Pharma,https://www.crunchbase.com/organization/roxro-pharma,"Medical, Pharmaceutical",3,3,Early Stage Venture,42700000,Series B,68800000,68800000
"Ariosa Diagnostics, Inc.",https://www.crunchbase.com/organization/ariosa-diagnostics-inc,"Health Diagnostics, Medical",3,3,M&A,52700000,Series C,67500000,67500000
Flexus Biosciences,https://www.crunchbase.com/organization/flexus-biosciences,"Biopharma, Medical",3,3,M&A,15200000,Venture - Series Unknown,66200000,66200000
InteKrin,https://www.crunchbase.com/organization/interkrin,"Neuroscience, Therapeutics",9,5,M&A,2292809,Venture - Series Unknown,65634732,65184732
Incline Therapeutics,https://www.crunchbase.com/organization/incline-therapeutics,"Medical, Information Technology and Software, Therapeutics",6,3,M&A,21500000,Series B,64940000,64500000
Pathwork Diagnostics,https://www.crunchbase.com/organization/pathwork-diagnostics,"Genetics, Health Care, Health Diagnostics",8,5,Late Stage Venture,30000000,Series C,63500000,63500000
Calibra Medical,https://www.crunchbase.com/organization/calibra-medical,"Diabetes, Health Care",5,6,M&A,8100000,Series D,63400000,62400000
Juvaris BioTherapeutics,https://www.crunchbase.com/organization/juvaris-biotherapeutics,"Health Care, Therapeutics",2,5,Early Stage Venture,750000,Debt Financing,63130000,53380000
Second Genome,https://www.crunchbase.com/organization/second-genome,"Health Diagnostics, Medical",12,4,Early Stage Venture,8400000,Series B,62899999,62899999
Cobalt Technologies,https://www.crunchbase.com/organization/cobalt-technologies,"Biofuel, CleanTech",9,6,,7000000,Venture - Series Unknown,62893000,62893000
Alector,https://www.crunchbase.com/organization/alector,"Genetics, Health Care, Therapeutics",9,4,Late Stage Venture,29500000,Series D,61500000,61500000
Quark Pharmaceuticals,https://www.crunchbase.com/organization/quark-pharmaceuticals,"Clinical Trials, Genetics, Medical",2,5,,10000000,Venture - Series Unknown,61399000,61399000
Baxano,https://www.crunchbase.com/organization/baxano,"Health Care, Information Technology and Software",6,4,M&A,10000000,Venture - Series Unknown,61200000,61200000
Alexo Therapeutics Limited,https://www.crunchbase.com/organization/alexo-therapeutics-limited,"Health Care, Industrial, Life Science, Therapeutics",3,2,Early Stage Venture,25000000,Convertible Note,61000000,36000000
Sonoma Orthopedics,https://www.crunchbase.com/organization/sonoma-orthopedics,"Hospital, Information Technology and Software",12,7,,,Venture - Series Unknown,60492968,59000000
Harpoon Therapeutics,https://www.crunchbase.com/organization/harpoon-therapeutics,"Health Care, Therapeutics",4,2,Early Stage Venture,45000000,Series B,60000000,60000000
Signature BioScience,https://www.crunchbase.com/organization/signature-bioscience,"Medical, Pharmaceutical",5,2,Late Stage Venture,15960000,Series E,58960000,58960000
Topica Pharmaceuticals,https://www.crunchbase.com/organization/topica,"Information Technology and Software, Pharmaceutical",3,3,,31519071,Venture - Series Unknown,58519071,58519071
Reliant Technologies,https://www.crunchbase.com/organization/reliant-technologies,"Laser, Medical",3,5,M&A,15000000,Series E,58500000,58500000
POINT Biomedical,https://www.crunchbase.com/organization/point-biomedical,"Health Care, Medical",5,4,Private Equity,25000000,Private Equity,58130000,58130000
Rinat Neuroscience,https://www.crunchbase.com/organization/rinat-neuroscience,"Neuroscience, Therapeutics",5,2,M&A,40000000,Series B,57500000,57500000
Laboratory Partners,https://www.crunchbase.com/organization/laboratory-partners,"Health Care, Health Diagnostics",3,5,,5000000,Venture - Series Unknown,57035000,57035000
Dreem,https://www.crunchbase.com/organization/rythm,"Consumer Electronics, Hardware, Health Care, Internet of Things, Neuroscience, Wearables",5,3,,35000000,Venture - Series Unknown,57000000,57000000
Medeor Therapeutics,https://www.crunchbase.com/organization/medeor-therapeutics,"Pharmaceutical, Therapeutics",5,1,Early Stage Venture,57000000,Series B,57000000,57000000
Jennerex Biotherapeutics,https://www.crunchbase.com/organization/jennerex-biotherapeutics,"Biopharma, Medical",1,7,M&A,21600000,Private Equity,56050006,56050006
Neuraltus Pharmaceuticals,https://www.crunchbase.com/organization/neuraltus-pharmaceuticals,"Health Care, Pharmaceutical",3,5,,14938357,Venture - Series Unknown,54165006,54165006
BlackThorn Therapeutics,https://www.crunchbase.com/organization/blackthorn-therapeutics,"Biopharma, Health Care, Therapeutics",7,2,Early Stage Venture,14000000,Series A,54000000,54000000
APT Pharmaceuticals,https://www.crunchbase.com/organization/apt-pharmaceuticals,"Health Care, Medical",7,2,Early Stage Venture,32000000,Series B,54000000,54000000
Vium,https://www.crunchbase.com/organization/mousera,"Life Science, Information Technology and Software",9,4,Early Stage Venture,24000000,Series B,53940004,53940004
Reset Therapeutics,https://www.crunchbase.com/organization/reset-therapeutics,"Biopharma, Pharmaceutical",,3,,29727145,Venture - Series Unknown,53623376,44523376
BioProcessors,https://www.crunchbase.com/organization/bioprocessors,"Health Care, Therapeutics",7,5,M&A,10010000,Series C,53510000,53510000
Senti Biosciences,https://www.crunchbase.com/organization/senti-biosciences,"Health Care, Medical",11,1,Early Stage Venture,53000000,Series A,53000000,53000000
DiaCarta,https://www.crunchbase.com/organization/diacarta,Genetics,3,2,Early Stage Venture,45000000,Series B,53000000,53000000
Channel Medsystems,https://www.crunchbase.com/organization/channel-medsystems,"Health Care, Women's",9,6,Late Stage Venture,14100000,Series C,52887000,46887000
Turnstone Biologics,https://www.crunchbase.com/organization/turnstone-biologics,"Innovation Management, Therapeutics",4,2,Early Stage Venture,41400000,Series B,52700000,52700000
Vaxart,https://www.crunchbase.com/organization/vaxart,"Health Care, Information Technology and Software",6,9,,,Venture - Series Unknown,52668419,52668419
CardioMind,https://www.crunchbase.com/organization/cardiomind,"Manufacturing, Neuroscience, Therapeutics",6,4,M&A,22000000,Venture - Series Unknown,52550000,52550000
KAI Pharmaceuticals,https://www.crunchbase.com/organization/kai-pharmaceuticals,"Medical, Therapeutics",7,2,M&A,35000000,Series B,52000000,52000000
Barosense,https://www.crunchbase.com/organization/barosense,"Information Technology and Software, Therapeutics",10,4,M&A,27000000,Series D,50636000,50636000
Coapt Systems,https://www.crunchbase.com/organization/coapt-systems,"Cosmetic Surgery, Manufacturing, Marketing",11,5,M&A,3720000,Debt Financing,50529000,46809000
Synthego,https://www.crunchbase.com/organization/stealthy,"Genetics, Industrial Automation, Innovation Management, Information Technology and Software",12,3,Early Stage Venture,41000000,Series B,49544226,49294226
LogicBio Therapeutics,https://www.crunchbase.com/organization/logicbio-therapeutics,Genetics,6,2,Early Stage Venture,45000000,Series B,48999911,48999911
Nuon Therapeutics,https://www.crunchbase.com/organization/nuon-therapeutics,"Health Care, Medical",3,4,,10000000,Venture - Series Unknown,48050000,48050000
Limerick BioPharma,https://www.crunchbase.com/organization/limerick-biopharma,"Information Technology and Software, Pharmaceutical",4,6,Late Stage Venture,480000,Debt Financing,47119415,31700000
Nodality,https://www.crunchbase.com/organization/nodality,"Clinical Trials, Health Diagnostics",5,6,,9999999,Debt Financing,47039999,37040000
Labrys Biologics,https://www.crunchbase.com/organization/labrys-biologics,"Health Care, Pharmaceutical",4,2,M&A,31000000,Series A,45588234,45588234
Nurix,https://www.crunchbase.com/organization/nurix,"Health Care, Therapeutics",2,3,Late Stage Venture,17000000,Series C,45200000,45200000
HealthTell,https://www.crunchbase.com/organization/healthtell,"Health Care, Health Diagnostics, Personal Health",1,4,Early Stage Venture,26098829,Series B,44782168,35585758
Caribou Biosciences,https://www.crunchbase.com/organization/caribou-biosciences,"Biopharma, Genetics, Health Care",13,3,Early Stage Venture,30000000,Series B,44464846,44464846
Ilypsa,https://www.crunchbase.com/organization/ilypsa,"Manufacturing, Medical",5,2,M&A,36000000,Series B,44000000,44000000
Apieron,https://www.crunchbase.com/organization/apieron,"Health Care, Information Technology and Software",4,4,Late Stage Venture,5900000,Series D,43500000,43500000
Sequenta,https://www.crunchbase.com/organization/sequenta,"Health Diagnostics, Medical",6,5,M&A,,Venture - Series Unknown,43460000,43460000
Navigenics,https://www.crunchbase.com/organization/navigenics,"Genetics, Health Care, Pet",5,2,M&A,18000000,Series C,43000000,43000000
Serenus Biotherapeutics,https://www.crunchbase.com/organization/serenus-biotherapeutics,"Health Care, Natural Resources",1,1,,43000000,Venture - Series Unknown,43000000,43000000
Apama Medical,https://www.crunchbase.com/organization/apama-medical,"Health Care, Information Technology and Software",7,6,M&A,6500000,Debt Financing,42300000,34800000
ALDEA Pharmaceuticals,https://www.crunchbase.com/organization/aldea-pharmaceuticals,"Information Technology and Software, Pharmaceutical",4,4,Early Stage Venture,24000000,Series B,41997183,37483692
Adiana,https://www.crunchbase.com/organization/adiana,"Health Care, Information Technology and Software",9,2,M&A,23000000,Series D,41574000,41574000
Reviva Pharmaceuticals,https://www.crunchbase.com/organization/reviva-pharmaceuticals,"Biopharma, Genetics, Pharmaceutical",,5,Late Stage Venture,4800000,Convertible Note,41410468,35456381
Advanced Cell Diagnostics,https://www.crunchbase.com/organization/advanced-cell-diagnostics,"Health Diagnostics, Medical",4,4,M&A,22000000,Series C,40800000,39400000
Ziarco,https://www.crunchbase.com/organization/ziarco,"Medical, Therapeutics",5,2,M&A,33000000,Series B,40601832,40601832
Datavant,https://www.crunchbase.com/organization/datavant,"Analytics, Big Data, Biopharma, Clinical Trials, Data Integration, Health Care",4,1,,40500000,Undisclosed,40500000,40500000
Corthera,https://www.crunchbase.com/organization/corthera,"Health Care, Therapeutics",4,3,M&A,23000000,Series C,40140000,40140000
AccuraGen Holdings,https://www.crunchbase.com/organization/accuragen-holdings,"Health Care, Information Technology and Software",6,2,Early Stage Venture,40000000,Series B,40000000,40000000
Vivace Therapeutics,https://www.crunchbase.com/organization/vivace-therapeutics,"Medical, Therapeutics",5,2,Early Stage Venture,25000000,Series B,40000000,40000000
Solstice Biologics,https://www.crunchbase.com/organization/solstice-biologics,"Medical, Therapeutics",2,5,Late Stage Venture,4000000,Series C,40000000,40000000
AbGenomics,https://www.crunchbase.com/organization/abgenomics,"Health Care, Medical",,3,Late Stage Venture,13160000,Series C,39610000,39610000
ViewPoint Therapeutics,https://www.crunchbase.com/organization/viewpoint-therapeutics,"Medical, Therapeutics",6,2,Early Stage Venture,35000000,Series B,39000000,39000000
