Organization/Person Name,Organization/Person Name URL,Categories,Number of Funding Rounds,Last Funding Amount ($),Last Funding Type,Last Equity Funding Amount ($),Last Equity Funding Type,Total Equity Funding Amount ($),Total Funding Amount ($),
X-ZELL,https://www.crunchbase.com/organization/x-zell,"Health Care, Health Diagnostics, Medical, Medical Device",4,750000,Seed,750000,Seed,2330000,2330000,2018
Boost Biomes,https://www.crunchbase.com/organization/boost-biomes,,1,2050000,Seed,2050000,Seed,2050000,2050000,2018
Full Cycle Bioplastics,https://www.crunchbase.com/organization/full-cycle-bioplastics,"Advanced Materials, CleanTech, Organic, Waste Management",2,,Seed,,Seed,2000000,2000000,2018
Prellis Biologics,https://www.crunchbase.com/organization/prellis-biologics,"Health Care, Medical",4,,Seed,,Seed,1920000,1920000,2018
Qardio,https://www.crunchbase.com/organization/qardio,"Artificial Intelligence, Big Data, Consumer Electronics, Health Care, Machine Learning, Medical, Medical Device, SaaS",6,,Venture - Series Unknown,,Venture - Series Unknown,948000,1873000,2018
Correlia Biosystems,https://www.crunchbase.com/organization/correlia-biosystems,"Health Care, Health Diagnostics, Life Science",5,120000,Seed,120000,Seed,120000,995000,2018
Feel,https://www.crunchbase.com/organization/sentio-solutions-inc,"Health Care, Health Diagnostics, Health Insurance, Medical Device, Psychology",8,,Convertible Note,,Seed,550000,550000,2018
GEA Enzymes,https://www.crunchbase.com/organization/gea-enzymes,"Food and Beverage, Food Processing",6,,Seed,,Seed,250000,500000,2018
HUMM Corp,https://www.crunchbase.com/organization/humm-technologies-pty-ltd,"Artificial Intelligence, eSports, Human Computer Interaction, Machine Learning, Neuroscience, Wearables",6,"A$40,000",Grant,"A$200,000",Angel,"A$200,000",328160,2018
New Wave Foods,https://www.crunchbase.com/organization/new-wave-foods,Advanced Materials,4,,Seed,,Seed,250000,250000,2018
Culture Robotics,https://www.crunchbase.com/organization/culture-robotics,"Industrial Automation, Robotics",1,120000,Seed,120000,Seed,120000,120000,2018
ZBiotics,https://www.crunchbase.com/organization/zbiotics,Nutraceutical,2,120000,Seed,120000,Seed,120000,120000,2018
Tradewind BioScience,https://www.crunchbase.com/organization/tradewind-bioscience,"Health Care, Medical",1,120000,Seed,120000,Seed,120000,120000,2018
Nextbiotics,https://www.crunchbase.com/organization/nextbiotics,,1,100000,Seed,100000,Seed,100000,100000,2018
Alkahest ,https://www.crunchbase.com/organization/alkahest,,1,,Grant,,,,,2018
OncoSynergy,https://www.crunchbase.com/organization/oncosynergy,"Health Care, Medical Device, Therapeutics",1,,Series A,,Series A,,,2018
QuantumCyte,https://www.crunchbase.com/organization/quantumcyte,"Life Science, Medical",2,,Convertible Note,,Seed,,,2018
Lingrove,https://www.crunchbase.com/organization/lingrove,"Industrial Engineering, Mechanical Engineering",1,,Seed,,Seed,,,2018
Engineering in Medicine & Biology ,https://www.crunchbase.com/organization/engineering-in-medicine-and-biology,"Association, Communities, Life Science, Medical, Personal Health",1,,Seed,,Seed,,,2018
